danceability,energy,key,mode,speechiness,instrumentalness,liveness,valence,tempo
0.714,0.8,11,0,0.0504,0,0.359,0.589,134.002
0.725,0.583,1,0,0.0427,0.000238,0.0665,0.762,79.984
0.7,0.613,11,1,0.0408,0,0.0887,0.42,88.084
0.316,0.63,5,1,0.117,0.262,0.205,0.313,89.643
0.509,0.972,6,0,0.0398,0.887,0.275,0.763,130.027
0.602,0.923,5,1,0.044,0,0.0561,0.765,136.01
0.475,0.815,8,0,0.124,0,0.11,0.48,126.164
0.451,0.931,9,1,0.0719,0.0049,0.361,0.172,122.961
0.584,0.889,1,0,0.0343,0.828,0.309,0.464,126.04
0.535,0.853,0,0,0.0589,0.000112,0.284,0.598,94.985
0.587,0.847,0,0,0.0594,2.29e-06,0.111,0.376,149.954
0.712,0.679,4,1,0.0649,0,0.195,0.57,160.003
0.779,0.642,8,0,0.116,0,0.2,0.388,82.363
0.591,0.764,1,1,0.0483,0,0.103,0.478,169.928
0.524,0.755,8,1,0.0294,0,0.115,0.46,147.927
0.768,0.641,11,0,0.114,0,0.0912,0.231,144.963
0.66,0.666,9,1,0.0472,0,0.0268,0.933,89.975
0.737,0.526,0,0,0.0873,0,0.085,0.074,130.028
0.342,0.273,9,1,0.0338,0,0.306,0.575,101.787
0.575,0.959,1,0,0.108,0,0.0515,0.642,110.973
0.707,0.576,2,1,0.0364,0,0.405,0.632,128.08
0.628,0.744,7,1,0.0379,0,0.313,0.277,119.921
0.691,0.77,7,0,0.0367,0,0.497,0.344,90.024
0.422,0.963,8,1,0.0618,1.85e-06,0.0802,0.693,199.982
0.621,0.695,4,1,0.0911,0,0.086,0.298,173.966
0.399,0.362,6,1,0.0337,8.47e-06,0.0965,0.311,125.73
0.662,0.413,0,1,0.0299,0,0.134,0.467,93.005
0.501,0.405,1,1,0.0319,0,0.105,0.446,109.891
0.698,0.715,11,1,0.0841,0,0.0887,0.679,153.981
0.561,0.81,8,0,0.0461,0,0.157,0.508,87.5
0.449,0.528,9,0,0.191,1.33e-06,0.231,0.729,98.403
0.409,0.958,5,1,0.0708,0.000237,0.07,0.355,180.038
0.517,0.828,4,1,0.0493,0,0.901,0.516,147.956
0.639,0.684,2,1,0.0353,0,0.194,0.465,88.05
0.447,0.449,2,1,0.0376,0.961,0.0697,0.036,92.468
0.315,0.22,9,1,0.0514,0.943,0.0802,0.116,145.195
0.421,0.873,10,1,0.0564,0,0.123,0.629,84.786
0.748,0.734,0,1,0.124,1.15e-05,0.0975,0.368,97.753
0.597,0.571,1,0,0.293,0,0.093,0.165,106.196
0.558,0.924,9,0,0.064,3.32e-06,0.537,0.567,151.99
0.397,0.887,2,1,0.0978,0.948,0.129,0.169,131.908
0.669,0.449,0,0,0.0489,0,0.0729,0.327,114.926
0.552,0.915,4,1,0.0559,3.74e-05,0.206,0.606,90.013
0.545,0.783,5,0,0.0345,0,0.132,0.551,174.084
0.588,0.925,11,1,0.0423,0,0.162,0.532,102.072
0.462,0.955,2,1,0.0897,0,0.361,0.535,99.031
0.69,0.578,6,1,0.0929,0,0.305,0.416,99.961
0.175,0.995,6,0,0.211,2.5e-06,0.214,0.303,184.066
0.399,0.723,11,1,0.0681,0,0.352,0.22,137.032
0.339,0.912,11,0,0.0765,0,0.0483,0.458,148.993
